pmcid,title,abstract,publication_date,keywords,journal,doi,author
29085450,Prognostic genes of breast cancer revealed by gene co-expression network analysis.,"The aim of the present study was to identify genes that may serve as markers for breast cancer prognosis by constructing a gene co-expression network and mining modules associated with survival. Two gene expression datasets of breast cancer were downloaded from ArrayExpress and genes from these datasets with a coefficient of variation >0.5 were selected and underwent functional enrichment analysis with the Database for Annotation, Visualization and Integration Discovery. Gene co-expression networks were constructed with the WGCNA package in R. Modules were identified from the network via cluster analysis. Cox regression was conducted to analyze survival rates. A total of 2,669 genes were selected, and functional enrichment analysis of them revealed that they were mainly associated with the immune response, cell proliferation, cell differentiation and cell adhesion. Seven modules were identified from the gene co-expression network, one of which was found to be significantly associated with patient survival time. Expression status of 144 genes from this module was used to cluster patient samples into two groups, with a significant difference in survival time revealed between these groups. These genes were involved in the cell cycle and tumor protein p53 signaling pathway. The top 10 hub genes were identified in the module. The findings of the present study could advance the understanding of the molecular pathogenesis of breast cancer.",,,Oncol Lett,,Shi
28201999,Effect of myeloid differentiation primary response gene 88 on expression profiles of genes during the development and progression of Helicobacter-induced gastric cancer.,"Gastric cancer is one of the most common and lethal type of cancer worldwide. Infection with Helicobacter pylori (H. pylori) is recognized as the major cause of gastric cancer. However, it remains unclear the mechanism by which Helicobacter infection leads to gastric cancer. Furthermore, the underlying molecular events involved during the progression of Helicobacter infection to gastric malignancy are not well understood. In previous studies, we demonstrated that that H. felis-infected Myd88 ",2017-10-30,"Animals, Biomarkers, Tumor, Disease Models, Animal, Disease Progression, Gene Expression Profiling, Gene Regulatory Networks, Helicobacter Infections, Helicobacter pylori, Mice, Mice, Inbred C57BL, Mice, Knockout, Myeloid Differentiation Factor 88, Stomach Neoplasms",BMC Cancer,,Lozano-Pope
28821952,Genome-wide association study and gene set analysis for understanding candidate genes involved in salt tolerance at the rice seedling stage.,"Salt is the major factor limiting crop productivity in saline soils and is controlled by various genes. The development of salt-tolerant rice through molecular breeding methods is important to meet the needs of rice breeding. We used 295 accessions to perform a genome-wide association study (GWAS) of salt tolerance-related phenotypes in rice at the seedling stage and obtained 93 candidate genes with high association peaks across six phenotypes. We constructed a protein interaction network using the candidate genes identified here, and 33 genes were associated. Based on the expression patterns, we found that most of these genes showed a different expression level under control and salt stress conditions. In addition, haplotype network and sequence analysis of one 'key' gene, a transcription factor (Os12g0176700) encoding a SWIRM domain-containing protein, in the interaction network was investigated to explore its possible role in the network. Our study revealed candidate salt tolerance-related genes in rice at the seedling stage, and demonstrated the feasibility of using GWAS to identify genetic architecture underlying salt tolerance. The data generated here may provide resources for molecular breeding and functional analysis of salt tolerance in rice seedlings.",2017-11-24,"Gene Expression Regulation, Plant, Genes, Plant, Genome-Wide Association Study, Haplotypes, Oryza, Polymorphism, Single Nucleotide, Salt Tolerance",Mol Genet Genomics,,Yu
25391499,The choice of reference genes for assessing gene expression in sugarcane under salinity and drought stresses.,"Sugarcane (Saccharum spp. hybrids) is a world-wide cash crop for sugar and biofuel in tropical and subtropical regions and suffers serious losses in cane yield and sugar content under salinity and drought stresses. Although real-time quantitative PCR has a numerous advantage in the expression quantification of stress-related genes for the elaboration of the corresponding molecular mechanism in sugarcane, the variation happened across the process of gene expression quantification should be normalized and monitored by introducing one or several reference genes. To validate suitable reference genes or gene sets for sugarcane gene expression normalization, 13 candidate reference genes have been tested across 12 NaCl- and PEG-treated sugarcane samples for four sugarcane genotypes using four commonly used systematic statistical algorithms termed geNorm, BestKeeper, NormFinder and the deltaCt method. The results demonstrated that glyceraldehyde-3-phosphate dehydrogenase (GAPDH) and eukaryotic elongation factor 1-alpha (eEF-1a) were identified as suitable reference genes for gene expression normalization under salinity/drought-treatment in sugarcane. Moreover, the expression analyses of SuSK and 6PGDH further validated that a combination of clathrin adaptor complex (CAC) and cullin (CUL) as reference should be better for gene expression normalization. These results can facilitate the future research on gene expression in sugarcane under salinity and drought stresses. ",2015-10-19,"Adaptor Proteins, Vesicular Transport, Algorithms, Cullin Proteins, Droughts, Gene Expression Profiling, Gene Expression Regulation, Plant, Genes, Essential, Glyceraldehyde-3-Phosphate Dehydrogenase (Phosphorylating), Peptide Elongation Factors, Plant Proteins, Polyethylene Glycols, Saccharum, Salinity, Sodium Chloride, Stress, Physiological",Sci Rep,,Guo
30122763,"[Germline gene testing of the RET, VHL, SDHD and SDHB genes in patients with pheochromocytoma/paraganglioma].","To analyze the germline variations of genes RET, VHL, SDHD and SDHB in patients with pheochromocytoma and/or paraganglioma and to evaluate variations of these genes in Chinese patients.",2019-03-04,"Adrenal Gland Neoplasms, Genetic Testing, Germ-Line Mutation, Humans, Paraganglioma, Pheochromocytoma, Proto-Oncogene Proteins c-ret, Succinate Dehydrogenase, Von Hippel-Lindau Tumor Suppressor Protein",Beijing Da Xue Xue Bao Yi Xue Ban,,Wu
31257478,Significantly dysregulated genes in osteoarthritic labrum cells identified through gene expression profiling.,"The aim of the present study was to explore the molecular basis and identify significant genetic alterations in acetabular labrum cells associated with osteoarthritis (OA). Gene expression data of osteoarthritic and normal human labrum cells were downloaded from a public database and reanalyzed. Significant differentially expressed genes (DEGs) were acquired by performing a thorough analysis of microarray data between the OA acetabular labrum cells and control cells. Key genes in OA labrum cells were revealed by a combination of weighted gene co‑expression network analysis (WGCNA) and protein‑protein interaction (PPI) analysis. Literature mining and drug screening were further performed for these key genes. In total, 141 DEGs between OA and normal labrum cells were identified. In addition, WGCNA and PPI analysis identified 23 DEGs as key genes in the OA labrum. All the key genes were significantly downregulated in OA labrum cells and were grouped into two different WGCNA‑PPI common subnetworks. Kinase insert domain receptor (KDR), CD34, cadherin 5 (CDH5), Fms related tyrosine kinase 1 (FLT1) and asporin were hub nodes in the PPI network of DEGs. These key genes were significantly enriched in functional clusters of transforming growth factor, alkaline phosphatase, bone morphogenic protein and extracellular matrix. Drug screening analysis identified several drugs targeting the key genes, including arachidonic acid, yohimbic acid and mimosine. The results of the present study indicate that the changes of FLT1, KDR, CD34 and CDH5 in acetabular labrum cells may be involved in the pathogenesis of OA and could serve as biomarkers and therapeutic targets of OA. Additionally, arachidonic acid, yohimbic acid and mimosine may act as potential drugs for OA.",2019-12-30,"Cartilage, Articular, Gene Expression Profiling, Gene Regulatory Networks, Humans, Osteoarthritis, Protein Interaction Maps, Transcriptome",Mol Med Rep,,Wang
28515453,Validation of reference genes for the normalization of the RT-qPCR gene expression of virulence genes of Erwinia amylovora in apple shoots.,"To study the expression of pathogenicity-related genes in Erwinia amylovora, seven candidate reference genes (ffh, glyA, gyrA, proC, pykA, recA, rpoB) were selected and validated with the following five different mathematic algorithms: geNorm, NormFinder, BestKeeper, the delta CT method and the RefFinder web-based tool. An overall comprehensive ranking output from each of the selected software programs revealed that proC and recA, followed by ffh and pykA, were the most stably expressed genes and can be recommended for the normalization of RT-qPCR data. A combination of the three reference genes, proC, recA and ffh, allowed for the accurate expression analysis of amsB and hrpN genes and the calculation of their fold change in E. amylovora after its infection of susceptible and resistant apple cultivars. To the best of our knowledge, this is the first study presenting a list of the most suitable reference genes for use in the relative quantification of target gene expression in E. amylovora in planta, selected on the basis of a multi-algorithm analysis.",2018-12-11,"Erwinia amylovora, Gene Expression Regulation, Bacterial, Genes, Bacterial, Malus, Plant Diseases, RNA Stability, Real-Time Polymerase Chain Reaction, Virulence, Virulence Factors",Sci Rep,,Kałużna
31759986,Analysis of the microarray gene expression for breast cancer progression after the application modified logistic regression.,"Methods based around statistics and linear algebra have been increasingly used in attempts to address emerging questions in microarray literature. Microarray technology is a long-used tool in the global analysis of gene expression, allowing for the simultaneous investigation of hundreds or thousands of genes in a sample. It is characterized by a low sample size and a large feature number created a non-square matrix, and by the incomplete rank, that can generate countless more solution in classifiers. To avoid the problem of the 'curse of dimensionality' many authors have performed feature selection or reduced the size of data matrix. In this work, we introduce a new logistic regression-based model to classify breast cancer tumor samples based on microarray expression data, including all features of gene expression and without reducing the microarray data matrix. If the user still deems it necessary to perform feature reduction, it can be done after the application of the methodology, still maintaining a good classification. This methodology allowed the correct classification of breast cancer sample data sets from Gene Expression Omnibus (GEO) data series GSE65194, GSE20711, and GSE25055, which contain the microarray data of said breast cancer samples. Classification had a minimum performance of 80% (sensitivity and specificity), and explored all possible data combinations, including breast cancer subtypes. This methodology highlighted genes not yet studied in breast cancer, some of which have been observed in Gene Regulatory Networks (GRNs). In this work we examine the patterns and features of a GRN composed of transcription factors (TFs) in MCF-7 breast cancer cell lines, providing valuable information regarding breast cancer. In particular, some genes whose αi ∗ associated parameter values revealed extreme positive and negative values, and, as such, can be identified as breast cancer prediction genes. We indicate that the PKN2, MKL1, MED23, CUL5 and GLI genes demonstrate a tumor suppressor profile, and that the MTR, ITGA2B, TELO2, MRPL9, MTTL1, WIPI1, KLHL20, PI4KB, FOLR1 and SHC1 genes demonstrate an oncogenic profile. We propose that these may serve as potential breast cancer prediction genes, and should be prioritized for further clinical studies on breast cancer. This new model allows for the assignment of values to the αi ∗ parameters associated with gene expression. It was noted that some αi ∗ parameters are associated with genes previously described as breast cancer biomarkers, as well as other genes not yet studied in relation to this disease.",2020-01-06,"Biomarkers, Tumor, Breast Neoplasms, Cell Line, Tumor, Disease Progression, Female, Gene Expression Profiling, Gene Expression Regulation, Neoplastic, Gene Regulatory Networks, Humans, Logistic Models, MCF-7 Cells, Oligonucleotide Array Sequence Analysis, Transcription Factors",Gene,10.1016/j.gene.2019.144168,Morais-Rodrigues
30648612,LoiA directly represses lon gene expression to activate the expression of Salmonella pathogenicity island-1 genes.,"Salmonella enterica serovar Typhimurium uses virulence factors encoded by Salmonella pathogenicity island 1 (SPI-1) to invade the intestinal epithelium. The low oxygen-induced transcriptional regulator LoiA is established to be a positive regulator of SPI-1 genes and can also repress the expression of the ATP-dependent Lon protease, a negative regulator of SPI-1 genes. Whether the repression of lon by LoiA is associated with its regulation of SPI-1 genes, as well as the regulatory mechanism involved, is unknown. In this study, we showed that LoiA directly represses the expression of the lon gene during invasion by binding to the promoter region of lon. The activation of S. Typhimurium SPI-1 gene expression by LoiA is associated with its repression of lon. Moreover, through invasion and mouse infection assays, we found that the repression of lon by LoiA contributes to S. Typhimurium invasion of intestinal epithelial cells and virulence in mice. However, LoiA does not influence lon expression during S. Typhimurium growth in macrophages, which may be associated with the low expression level of loiA in macrophages. Collectively, these findings establish the direct regulation of lon by LoiA and describe a novel mechanism by which LoiA regulates SPI-1 gene expression.",2019-08-27,"Animals, Bacterial Proteins, Caco-2 Cells, Disease Models, Animal, Epithelial Cells, Gene Expression, Gene Expression Regulation, Bacterial, Genomic Islands, Humans, Macrophages, Mice, Promoter Regions, Genetic, Protease La, Protein Binding, RAW 264.7 Cells, Salmonella Infections, Salmonella typhimurium, Transcription Factors, Virulence, Virulence Factors",Res Microbiol,10.1016/j.resmic.2019.01.001,Jiang
30590832,Cold Acclimation of the Thermoacidophilic Red Alga Galdieria sulphuraria: Changes in Gene Expression and Involvement of Horizontally Acquired Genes.,"Galdieria sulphuraria is a unicellular red alga that lives in hot, acidic, toxic metal-rich, volcanic environments, where few other organisms survive. Its genome harbors up to 5% of genes that were most likely acquired through horizontal gene transfer. These genes probably contributed to G.sulphuraria's adaptation to its extreme habitats, resulting in today's polyextremophilic traits. Here, we applied RNA-sequencing to obtain insights into the acclimation of a thermophilic organism towards temperatures below its growth optimum and to study how horizontally acquired genes contribute to cold acclimation. A decrease in growth temperature from 42ï¿½C/46ï¿½C to 28ï¿½C resulted in an upregulation of ribosome biosynthesis, while excreted proteins, probably components of the cell wall, were downregulated. Photosynthesis was suppressed at cold temperatures, and transcript abundances indicated that C-metabolism switched from gluconeogenesis to glycogen degradation. Folate cycle and S-adenosylmethionine cycle (one-carbon metabolism) were transcriptionally upregulated, probably to drive the biosynthesis of betaine. All these cold-induced changes in gene expression were reversible upon return to optimal growth temperature. Numerous genes acquired by horizontal gene transfer displayed temperature-dependent expression changes, indicating that these genes contributed to adaptive evolution in G.sulphuraria.",2019-06-21,"Adaptation, Physiological, Algal Proteins, Cold Temperature, Cold-Shock Response, Gene Transfer, Horizontal, Phylogeny, Rhodophyta, Systems Biology",Plant Cell Physiol,10.1093/pcp/pcy240,Rossoni
30287831,Analysis of the mechanisms regulating the expression of isoprenoid biosynthesis genes in hydroponically-grown Nicotiana benthamiana plants using virus-induced gene silencing.,"Secondary metabolites in plants play important roles in defence against biotic and abiotic stresses. Although the biosynthesis pathways of secondary metabolites have been extensively studied, the regulatory mechanism of gene expression involved in these pathways remains poorly understood. In this study, we develop a virus-induced gene silencing (VIGS) system that enables a rapid analysis of the regulatory mechanism of genes involved in the biosynthesis of isoprenoids, one of the largest groups in secondary metabolites, using hydroponically-grown Nicotiana benthamiana. Using VIGS, we successfully reduced the transcript levels of 3-hydroxy-3-methylglutaryl-CoA reductase 1 (HMGR1), cycloartenol synthase 1 (CAS1), sterol side chain reductase 2 (SSR2) and S-adenosyl-L-Met-dependent C-24 sterol methyltransferase 1 (SMT1) in leaf, stem and root tissues in approximately 2 weeks. We identified novel feedback and feed-forward regulation of isoprenoid biosynthesis genes when CAS1, which encodes a key enzyme involved in the biosynthesis of sterols and steroidal glycoalkaloids, was down-regulated. Furthermore, the regulation of these genes differed among different tissues. These results demonstrate that our system can rapidly analyse the regulatory mechanisms involved in the biosynthesis of secondary metabolites.",2019-11-25,"Biosynthetic Pathways, Feedback, Physiological, Gene Expression Regulation, Plant, Gene Silencing, Genes, Plant, Hydroponics, Plant Viruses, Soil, Terpenes, Tobacco",Sci Rep,,Atsumi
27805417,Prevalence of cry2-type genes in Bacillus thuringiensis isolates recovered from diverse habitats in India and isolation of a novel cry2Af2 gene toxic to Helicoverpa armigera (cotton boll worm).,"Insecticidal cry and vip genes from Bacillus thuringiensis (Bt) have been used for control of lepidopteran insects in transgenic crops. However, novel genes are required for gene pyramiding to delay evolution of resistance to the currently deployed genes. Two PCR-based techniques were employed for screening of cry2-type genes in 129 Bt isolates from diverse habitats in India and 27 known Bt strains. cry2Ab-type genes were more prevalent than cry2Aa- and cry2Ac-type genes. Correlation between source of isolates and abundance of cry2-type genes was not observed. Full-length cry2A-type genes were amplified by PCR from 9 Bt isolates and 4 Bt strains. The genes from Bt isolates SK-758 from Sorghum grain dust and SK-793 from Chilli seeds warehouse, Andhra Pradesh, were cloned and sequenced. The gene from SK-758 (NCBI GenBank accession No. GQ866915) was novel, while that from SK-793 (NCBI GenBank accession No. GQ866914) was identical to the cry2Ab1 gene. The Bacillus thuringiensis Nomenclature Committee ( http://www.lifesci.sussex.ac.uk/home/Neil_Crickmore/Bt/toxins2.html ) named these genes cry2Af2 and cry2Ab16, respectively. The cry2Af2 gene was expressed in Escherichia coli and found to be toxic towards Helicoverpa armigera. The cry2Af2 gene will be useful for pyramiding in transgenic crops.",2016-12-30,"Animals, Bacillus thuringiensis, Bacterial Proteins, Crops, Agricultural, Ecosystem, Endotoxins, Escherichia coli, Gene Expression, Gossypium, Hemolysin Proteins, India, Insecticides, Moths",Can J Microbiol,10.1139/cjm-2016-0042,Katara
24167633,Evaluation and validation of reference genes for normalization of quantitative real-time PCR based gene expression studies in peanut.,"The quantitative real-time PCR (qPCR) based techniques have become essential for gene expression studies and high-throughput molecular characterization of transgenic events. Normalizing to reference gene in relative quantification make results from qPCR more reliable when compared to absolute quantification, but requires robust reference genes. Since, ideal reference gene should be species specific, no single internal control gene is universal for use as a reference gene across various plant developmental stages and diverse growth conditions. Here, we present validation studies of multiple stably expressed reference genes in cultivated peanut with minimal variations in temporal and spatial expression when subjected to various biotic and abiotic stresses. Stability in the expression of eight candidate reference genes including ADH3, ACT11, ATPsyn, CYP2, ELF1B, G6PD, LEC and UBC1 was compared in diverse peanut plant samples. The samples were categorized into distinct experimental sets to check the suitability of candidate genes for accurate and reliable normalization of gene expression using qPCR. Stability in expression of the references genes in eight sets of samples was determined by geNorm and NormFinder methods. While three candidate reference genes including ADH3, G6PD and ELF1B were identified to be stably expressed across experiments, LEC was observed to be the least stable, and hence must be avoided for gene expression studies in peanut. Inclusion of the former two genes gave sufficiently reliable results; nonetheless, the addition of the third reference gene ELF1B may be potentially better in a diverse set of tissue samples of peanut. ",2014-05-28,"Arachis, Gene Expression Profiling, Gene Expression Regulation, Plant, Genes, Plant, Real-Time Polymerase Chain Reaction",PLoS One,,Reddy
31513626,Analysis of Zobellella denitrificans ZD1 draft genome: Genes and gene clusters responsible for high polyhydroxybutyrate (PHB) production from glycerol under saline conditions and its CRISPR-Cas system.,"Polyhydroxybutyrate (PHB) is biodegradable and renewable and thus considered as a promising alternative to petroleum-based plastics. However, PHB production is costly due to expensive carbon sources for culturing PHB-accumulating microorganisms under sterile conditions. We discovered a hyper PHB-accumulating denitrifying bacterium, Zobellella denitrificans ZD1 (referred as strain ZD1 hereafter) capable of using non-sterile crude glycerol (a waste from biodiesel production) and nitrate to produce high PHB yield under saline conditions. Nevertheless, the underlying genetic mechanisms of PHB production in strain ZD1 have not been elucidated. In this study, we discovered a complete pathway of glycerol conversion to PHB, a novel PHB synthesis gene cluster, a salt-tolerant gene cluster, denitrifying genes, and an assimilatory nitrate reduction gene cluster in the ZD1 genome. Interestingly, the novel PHB synthesis gene cluster was found to be conserved among marine Gammaproteobacteria. Higher levels of PHB accumulation were linked to higher expression levels of the PHB synthesis gene cluster in ZD1 grown with glycerol and nitrate under saline conditions. Additionally, a clustered regularly interspaced short palindromic repeat (CRISPR)-Cas type-I-E antiviral system was found in the ZD1 genome along with a long spacer list, in which most of the spacers belong to either double-stranded DNA viruses or unknown phages. The results of the genome analysis revealed strain ZD1 used the novel PHB gene cluster to produce PHB from non-sterile crude glycerol under saline conditions.",2020-03-16,"Aeromonadaceae, Bacterial Proteins, CRISPR-Cas Systems, Evolution, Molecular, Gene Expression Regulation, Bacterial, Glycerol, Hydroxybutyrates, Multigene Family, Phylogeny, Polyesters, Salinity, Stress, Physiological, Up-Regulation, Whole Genome Sequencing",PLoS One,,Wu
25058454,Selection and validation of reference genes for transcript normalization in gene expression studies in Catharanthus roseus.,"Quantitative Real-Time PCR (qPCR), a sensitive and commonly used technique for gene expression analysis, requires stably expressed reference genes for normalization of gene expression. Up to now, only one reference gene for qPCR analysis, corresponding to 40S Ribosomal protein S9 (RPS9), was available for the medicinal plant Catharanthus roseus, the only source of the commercial anticancer drugs vinblastine and vincristine. Here, we screened for additional reference genes for this plant species by mining C. roseus RNA-Seq data for orthologs of 22 genes known to be stably expressed in Arabidopsis thaliana and qualified as superior reference genes for this model plant species. Based on this, eight candidate C. roseus reference genes were identified and, together with RPS9, evaluated by performing qPCR on a series of different C. roseus explants and tissue cultures. NormFinder, geNorm and BestKeeper analyses of the resulting qPCR data revealed that the orthologs of At2g28390 (SAND family protein, SAND), At2g32170 (N2227-like family protein, N2227) and At4g26410 (Expressed protein, EXP) had the highest expression stability across the different C. roseus samples and are superior as reference genes as compared to the traditionally used RPS9. Analysis of publicly available C. roseus RNA-Seq data confirmed the expression stability of SAND and N2227, underscoring their value as reference genes for C. roseus qPCR analysis. ",2015-12-03,"Catharanthus, Gene Expression Profiling, Genes, Plant, RNA, Messenger, Sequence Analysis, RNA",Plant Physiol Biochem,10.1016/j.plaphy.2014.07.004,Pollier
32183501,Gene Expression Profiling Indicated Diverse Functions and Characteristics of Core Genes in Pea Aphid.,"The pea aphid is a global insect pest, and variable phenotypes can be produced by pea aphids in the same genotype in response to changes in external environmental factors. However, detailed dynamic gene regulation networks and the core markers involved in different biological processes of pea aphids have not yet been reported. In this study, we obtained the published genomic and transcriptomic data, and performed transcriptome profiling of five pea aphid morphs (winged asexual female, wingless asexual female, wingless sexual female, winged male and wingless male) from each of three pea aphid genotypes, i.e., the transcriptomes from a total of 15 types of pea aphids were analyzed and the type-specific expression of genes in five different morphs was identified. The expression profiling was verified by quantitative real-time PCR (qPCR) analysis. Moreover, we determined the expression features and co-expression networks of highly variable genes. We also used the ARACNe method to obtain 263 core genes related to different biological pathways. Additionally, eight of the identified genes were aligned with transcription factor families, indicating that they act as transcription factors and regulate downstream genes. Furthermore, we found reliable markers using random forest methodology to distinguish different morphs of pea aphids. Our study provides a systematic and comprehensive approach for analyzing the core genes that may play important roles in a multitude of biological processes from the insect transcriptomes.",,,Insects,,Tian
28232943,Gastric Cancer Associated Genes Identified by an Integrative Analysis of Gene Expression Data.,"Gastric cancer is one of the most severe complex diseases with high morbidity and mortality in the world. The molecular mechanisms and risk factors for this disease are still not clear since the cancer heterogeneity caused by different genetic and environmental factors. With more and more expression data accumulated nowadays, we can perform integrative analysis for these data to understand the complexity of gastric cancer and to identify consensus players for the heterogeneous cancer. In the present work, we screened the published gene expression data and analyzed them with integrative tool, combined with pathway and gene ontology enrichment investigation. We identified several consensus differentially expressed genes and these genes were further confirmed with literature mining; at last, two genes, that is, immunoglobulin J chain and C-X-C motif chemokine ligand 17, were screened as novel gastric cancer associated genes. Experimental validation is proposed to further confirm this finding.",2017-03-06,"Databases, Genetic, Down-Regulation, Gene Expression Profiling, Gene Expression Regulation, Neoplastic, Gene Ontology, Genes, Neoplasm, Humans, Molecular Sequence Annotation, Stomach Neoplasms, Up-Regulation",Biomed Res Int,,Jiang
21269461,Identification of disease-causing genes using microarray data mining and Gene Ontology.,"One of the best and most accurate methods for identifying disease-causing genes is monitoring gene expression values in different samples using microarray technology. One of the shortcomings of microarray data is that they provide a small quantity of samples with respect to the number of genes. This problem reduces the classification accuracy of the methods, so gene selection is essential to improve the predictive accuracy and to identify potential marker genes for a disease. Among numerous existing methods for gene selection, support vector machine-based recursive feature elimination (SVMRFE) has become one of the leading methods, but its performance can be reduced because of the small sample size, noisy data and the fact that the method does not remove redundant genes.",2011-04-19,"Colonic Neoplasms, Data Mining, Gene Expression, Genes, Humans, Lymphoma, Large B-Cell, Diffuse, Male, Oligonucleotide Array Sequence Analysis, Prostatic Neoplasms, Software",BMC Med Genomics,,Mohammadi
24587403,Identification of suitable reference genes for gene expression normalization in qRT-PCR analysis in watermelon.,"Watermelon is one of the major Cucurbitaceae crops and the recent availability of genome sequence greatly facilitates the fundamental researches on it. Quantitative real-time reverse transcriptase PCR (qRT-PCR) is the preferred method for gene expression analyses, and using validated reference genes for normalization is crucial to ensure the accuracy of this method. However, a systematic validation of reference genes has not been conducted on watermelon. In this study, transcripts of 15 candidate reference genes were quantified in watermelon using qRT-PCR, and the stability of these genes was compared using geNorm and NormFinder. geNorm identified ClTUA and ClACT, ClEF1α and ClACT, and ClCAC and ClTUA as the best pairs of reference genes in watermelon organs and tissues under normal growth conditions, abiotic stress, and biotic stress, respectively. NormFinder identified ClYLS8, ClUBCP, and ClCAC as the best single reference genes under the above experimental conditions, respectively. ClYLS8 and ClPP2A were identified as the best reference genes across all samples. Two to nine reference genes were required for more reliable normalization depending on the experimental conditions. The widely used watermelon reference gene 18SrRNA was less stable than the other reference genes under the experimental conditions. Catalase family genes were identified in watermelon genome, and used to validate the reliability of the identified reference genes. ClCAT1and ClCAT2 were induced and upregulated in the first 24 h, whereas ClCAT3 was downregulated in the leaves under low temperature stress. However, the expression levels of these genes were significantly overestimated and misinterpreted when 18SrRNA was used as a reference gene. These results provide a good starting point for reference gene selection in qRT-PCR analyses involving watermelon. ",2015-06-26,"Actins, Catalase, Citrullus, Cold Temperature, Gene Expression Profiling, Gene Expression Regulation, Plant, Genes, Plant, Isoenzymes, Peptide Elongation Factor 1, Plant Leaves, Plant Proteins, RNA, Ribosomal, 18S, Reference Standards, Reproducibility of Results, Reverse Transcriptase Polymerase Chain Reaction, Tubulin",PLoS One,,Kong
29462160,Identifying potential maternal genes of Bombyx mori using digital gene expression profiling.,"Maternal genes present in mature oocytes play a crucial role in the early development of silkworm. Although maternal genes have been widely studied in many other species, there has been limited research in Bombyx mori. High-throughput next generation sequencing provides a practical method for gene discovery on a genome-wide level. Herein, a transcriptome study was used to identify maternal-related genes from silkworm eggs. Unfertilized eggs from five different stages of early development were used to detect the changing situation of gene expression. The expressed genes showed different patterns over time. Seventy-six maternal genes were annotated according to homology analysis with Drosophila melanogaster. More than half of the differentially expressed maternal genes fell into four expression patterns, while the expression patterns showed a downward trend over time. The functional annotation of these material genes was mainly related to transcription factor activity, growth factor activity, nucleic acid binding, RNA binding, ATP binding, and ion binding. Additionally, twenty-two gene clusters including maternal genes were identified from 18 scaffolds. Altogether, we plotted a profile for the maternal genes of Bombyx mori using a digital gene expression profiling method. This will provide the basis for maternal-specific signature research and improve the understanding of the early development of silkworm.",2018-04-25,"Animals, Bombyx, Drosophila melanogaster, Female, Gene Expression Profiling, Genomic Imprinting, Maternal Inheritance, Real-Time Polymerase Chain Reaction",PLoS One,,Zhang
28516231,Molecular evolution of type II MAGE genes from ancestral MAGED2 gene and their phylogenetic resolution of basal mammalian clades.,"Type II melanoma-associated antigens (MAGE) are a subgroup of about a dozen proteins found in various locations in the genome and expressed in normal tissues, thus are not related to cancer as the type I MAGE genes. This gene family exists as a single copy in non-mammals and monotremata, but found as two copies in metatherians and occur as a diverse group in all eutherians. Our studies suggest MAGED2 as the ancestor of this subfamily and the most likely evolutionary history of eutherian type II MAGE genes is hereby proposed based on synteny conservation, phylogenetic relations, genome location, homology conservation, and the protein and gene structures. Type II genes can be divided into two: those with 13 exons (MAGED1, MAGED2, TRO, and MAGED4) and those with only one exon (MAGEE1, MAGEE2, MAGEF1, NSMCE3, MAGEH1, MAGEL2, and NDN) with different evolutionary patterns. Our results suggest a need to change the gene nomenclature to MAGE1 (the ancestral gene), currently designated as LOC103095671 and LOC100935086, in opossum and Tasmanian devil, respectively, and MAGE2 (the duplicated one), currently designated as LOC100617402 and NDNL2, respectively, to avoid confusion. We reconstructed the phylogenetic relationships among 23 mammalian species using the combined sequences of MAGED1, MAGED2, MAGEL2, and NDN, because of their high divergence, and found high levels of support, being able to resolve the phylogenetic relationships among Euarchontoglires, Laurasiatheria, Afrotheria, and Xenarthra, as an example that small, but phylogenetically informative sequences, can be very useful for resolving basal mammalian clades.",2018-10-01,"Animals, Antigens, Neoplasm, Eutheria, Evolution, Molecular, Exons, Gene Duplication, Genetic Markers, Genome, Mammals, Melanoma-Specific Antigens, Phylogeny, Sequence Analysis, DNA, Sequence Analysis, Protein, Synteny",Mamm Genome,,De Donato
31873297,GeVIR is a continuous gene-level metric that uses variant distribution patterns to prioritize disease candidate genes.,"With large-scale population sequencing projects gathering pace, there is a need for strategies that advance disease gene prioritization",2020-04-08,"Computational Biology, Genetic Diseases, Inborn, Genetic Markers, Genetic Variation, Genome, Human, Humans, Mutation, Phenotype, Proteins",Nat Genet,,Abramovs
