author,abstract
Thirugnanasambandam,"Discovering novel genes that are involved human diseases is a challenging task in biomedical research. In recent years, several computational approaches have been proposed to prioritize candidate disease genes. Most of these methods are mainly based on protein-protein interaction (PPI) networks. However, since these PPI networks contain false positives and only cover less half of known human genes, their reliability and coverage are very low. Therefore, it is highly necessary to fuse multiple genomic data to construct a credible gene similarity network and then infer disease genes on the whole genomic scale."
Thirugnanasambandam,"Manganese poisoning is a common occupational disease, studies have found that the susceptibility to manganese poisoning differs in individuals. We adopted genome-wide sequencing methods to screen for susceptibility genes involved in gene-mediated metabolic pathways from the perspective of manganese poisoning. We identified 18,439 genes in this study, including 14,272 known genes and 4398 new genes. We then selected 17 differential genes using p values, of which 7 genes were down-regulated and 10 genes were up-regulated. Possible interaction genes for each differential gene were selected according to the String database. Sgk1, HCRTr1, HspB1, Rem2, Oprd1, ATF5, and TRHr identified in this study may be involved in oxidative stress mechanisms, dopamine (DA) synthesis, and neuronal survival during apoptosis and may affect susceptibility to manganese poisoning."
Thirugnanasambandam,"Osteosarcoma (OS), the most common malignant bone tumor, accounts for the heavy healthy threat in the period of children and adolescents. OS occurrence usually correlates with early metastasis and high death rate. This study aimed to better understand the mechanism of OS metastasis.Based on Gene Expression Omnibus (GEO) database, we downloaded 4 expression profile data sets associated with OS metastasis, and selected differential expressed genes. Weighted gene co-expression network analysis (WGCNA) approach allowed us to investigate the most OS metastasis-correlated module. Gene Ontology functional and Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway enrichment analyses were used to give annotation of selected OS metastasis-associated genes.We select 897 differential expressed genes from OS metastasis and OS non-metastasis groups. Based on these selected genes, WGCNA further explored 142 genes included in the most OS metastasis-correlated module. Gene Ontology functional and KEGG pathway enrichment analyses showed that significantly OS metastasis-associated genes were involved in pathway correlated with insulin-like growth factor binding.Our research figured out several potential molecules participating in metastasis process and factors acting as biomarker. With this study, we could better explore the mechanism of OS metastasis and further discover more therapy targets."
Thirugnanasambandam,"Cholangiocarcinoma (CCA) is a highly malignant tumor found in the bile duct epithelial cells, and the second most common primary tumor of the liver. However, the pivotal roles of molecular biomarkers in oncogenesis of CCA are unclear. Therefore, we aim to explore the underlying mechanisms of progression and screen for novel prognostic biomarkers and treatment targets."
Thirugnanasambandam,"The pea aphid is a global insect pest, and variable phenotypes can be produced by pea aphids in the same genotype in response to changes in external environmental factors. However, detailed dynamic gene regulation networks and the core markers involved in different biological processes of pea aphids have not yet been reported. In this study, we obtained the published genomic and transcriptomic data, and performed transcriptome profiling of five pea aphid morphs (winged asexual female, wingless asexual female, wingless sexual female, winged male and wingless male) from each of three pea aphid genotypes, i.e., the transcriptomes from a total of 15 types of pea aphids were analyzed and the type-specific expression of genes in five different morphs was identified. The expression profiling was verified by quantitative real-time PCR (qPCR) analysis. Moreover, we determined the expression features and co-expression networks of highly variable genes. We also used the ARACNe method to obtain 263 core genes related to different biological pathways. Additionally, eight of the identified genes were aligned with transcription factor families, indicating that they act as transcription factors and regulate downstream genes. Furthermore, we found reliable markers using random forest methodology to distinguish different morphs of pea aphids. Our study provides a systematic and comprehensive approach for analyzing the core genes that may play important roles in a multitude of biological processes from the insect transcriptomes."
Thirugnanasambandam,"Lung squamous cell carcinoma (lung SCC) is a common type of malignancy. Its pathogenesis mechanism of tumor development is unclear. The aim of this study was to identify key genes for diagnosis biomarkers in lung SCC metastasis."
Targonski,"Gene knockouts are a common tool used to study gene function in various organisms. However, designing gene knockouts is complicated in viruses, which frequently contain sequences that code for multiple overlapping genes. Designing mutants that can be traced by the creation of new or elimination of existing restriction sites further compounds the difficulty in experimental design of knockouts of overlapping genes. While software is available to rapidly identify restriction sites in a given nucleotide sequence, no existing software addresses experimental design of mutations involving multiple overlapping amino acid sequences in generating gene knockouts."
Targonski,"Quantitative Reverse Transcription PCR (qRT-PCR) is currently one of the most popular, high-throughput and sensitive technologies available for quantifying gene expression. Its accurate application depends heavily upon normalisation of gene-of-interest data with reference genes that are uniformly expressed under experimental conditions. The aim of this study was to provide the first validation of reference genes for Lupinus angustifolius (narrow-leafed lupin, a significant grain legume crop) using a selection of seven genes previously trialed as reference genes for the model legume, Medicago truncatula. In a preliminary evaluation, the seven candidate reference genes were assessed on the basis of primer specificity for their respective targeted region, PCR amplification efficiency, and ability to discriminate between cDNA and gDNA. Following this assessment, expression of the three most promising candidates [Ubiquitin C (UBC), Helicase (HEL), and Polypyrimidine tract-binding protein (PTB)] was evaluated using the NormFinder and RefFinder statistical algorithms in two narrow-leafed lupin lines, both with and without vernalisation treatment, and across seven organ types (cotyledons, stem, leaves, shoot apical meristem, flowers, pods and roots) encompassing three developmental stages. UBC was consistently identified as the most stable candidate and has sufficiently uniform expression that it may be used as a sole reference gene under the experimental conditions tested here. However, as organ type and developmental stage were associated with greater variability in relative expression, it is recommended using UBC and HEL as a pair to achieve optimal normalisation. These results highlight the importance of rigorously assessing candidate reference genes for each species across a diverse range of organs and developmental stages. With emerging technologies, such as RNAseq, and the completion of valuable transcriptome data sets, it is possible that other potentially more suitable reference genes will be identified for this species in future. "
Tanaka,"Breast cancer is one of the most common malignancies. The molecular mechanisms of its pathogenesis are still to be investigated. The aim of this study was to identify the potential genes associated with the progression of breast cancer. Weighted gene co-expression network analysis (WGCNA) was used to construct free-scale gene co-expression networks to explore the associations between gene sets and clinical features, and to identify candidate biomarkers. The gene expression profiles of GSE1561 were selected from the Gene Expression Omnibus (GEO) database. RNA-seq data and clinical information of breast cancer from TCGA were used for validation. A total of 18 modules were identified via the average linkage hierarchical clustering. In the significant module ("
Tanaka,"Glioma is a highly invasive, rapidly spreading form of brain cancer, while its etiology is largely unknown. A few recently reported studies have been developed using gene expression microarrays of glioma to identify differentially expressed genes from several to hundreds. This study was designed to analyze vast amounts of glioma-related microarray data and screen the key genes and pathways related to the development and progression of glioma. We used gene set enrichment analysis (GSEA) and meta-analysis of seven included studies after standardized microarray preprocessing, which increased concordance between these gene datasets. After GSEA, there were 14 mixing pathways including 13 up- and 1 down-regulated pathways. Based on the meta-analysis, 268 significant genes were screened out (P < 0.05); there were 249 genes identified by Kyoto Encyclopedia of Genes and Genomes (KEGG), and 27 KEGG pathways closely related to the set of the imported genes were identified. At last, six consistent pathways and key genes in these pathways related to glioma were obtained with combined GSEA and meta-analysis. The gene pathways that we identified could provide insight concerning the development of glioma. Further studies are needed to determine the biological function for the positive genes."
Tanaka,"Homeodomain-leucine zipper (HD-ZIP) transcription factors play important roles in the growth, development and stress responses of plants, including (presumably) physic nut (Jatropha curcas), which has high drought and salinity tolerance. However, although physic nut's genome has been released, there is little knowledge of the functions, expression profiles and evolutionary histories of the species' HD-ZIP genes."
Taki,"Myosins are a large family of actin filament-based motor proteins with a broad range of functions such as intracellular membrane trafficking, endocytosis, exocytosis, organellar transport, growth cone motility, cytokinesis, and cell locomotion. They are found in many organisms from fungi to humans. The myosin gene family in Bombyx mori is poorly studied, even though the molecular functions of these genes in vertebrates and insects, such as Drosophila, are well known. We identified 16 myosin genes from B. mori and identified the myosin genes in 12 vertebrates, eight insects, three nematodes, and seven protozoa. The number of myosin genes in vertebrates is double the number in invertebrates. The number of myosin isoforms in classes I and II is larger in vertebrates compared to invertebrates. B. mori myosin genes can be classified into 11 classes. Compared to B. mori, some myosin classes are not present in other insects. Classes I, II, XVIII, and XXI appear to be important for insect survival because they are conserved among nine insects. The relatively large sizes of B. mori myosin genes are due to their longer introns. Reverse transcription PCR (RT-PCR) and quantitative real-time PCR (qRT-PCR) analysis demonstrated that many B. mori myosin genes have tissue-specific expression and exhibit temporal-specific activity during metamorphosis. These data provide insights into evolutionary and functional aspects of B. mori myosin genes that could be useful for the study of homologous myosins in other Lepidoptera species."
Taki,"The polyhydroxyalkanoate (PHA) producing capability of four bacterial strains isolated from Antarctica was reported in a previous study. This study analyzed the PHA synthase genes and the PHA-associated gene clusters from the two antarctic Pseudomonas isolates (UMAB-08 and UMAB-40) and the two antarctic Janthinobacterium isolates (UMAB-56 and UMAB-60) through whole-genome sequence analysis. The Pseudomonas isolates were found to carry PHA synthase genes which fall into two different PHA gene clusters, namely Class I and Class II, which are involved in the biosynthesis of short-chain-length-PHA (SCL-PHA) and medium-chain-length-PHA (MCL-PHA), respectively. On the other hand, the Janthinobacterium isolates carry a Class I and an uncharacterized putative PHA synthase genes. No other gene involved in PHA synthesis was detected in close proximity to the uncharacterized putative PHA synthase gene in the Janthinobacterium isolates, therefore it falls into a separate clade from the ordinary Class I, II, III and IV clades of PHA synthase (PhaC) phylogenetic tree. Multiple sequence alignment showed that the uncharacterized putative PHA synthase gene contains all the highly conserved amino acid residues and the proposed catalytic triad of PHA synthase. PHA biosynthesis and in vitro PhaC enzymatic assay results showed that this uncharacterized putative PHA synthase from Janthinobacterium sp. UMAB-60 is funtional. This report adds new knowledge to the PHA synthase database as we describe scarce information of PHA synthase genes and PHA-associated gene clusters from the antarctic bacterial isolates (extreme and geographically isolated environment) and comparing with those from non-antarctic PHA-producing bacteria."
Subramanian,"Osteosarcoma (OS) is one of the most malignant tumors in children and young adults. To better understand the underlying mechanism, five related datasets deposited in the Gene Expression Omnibus were included in the present study. The Bioconductor 'limma' package was used to identify differentially expressed genes (DEGs) and the 'Weighted Gene Co‑expression Network Analysis' package was used to construct a weighted gene co‑expression network to identify key modules and hub genes, associated with OS. Gene Ontology and Kyoto Encyclopedia of Genes and Genomes overrepresentation analyses were used for functional annotation. The results indicated that 1,405 genes were dysregulated in OS, including 927 upregulated and 478 downregulated genes, when the cut off value was set at a ≥2 fold‑change and an adjusted P‑value of P<0.01 was used. Functional annotation of DEGs indicated that these genes were involved in the extracellular matrix (ECM) and that they function in several processes, including biological adhesion, ECM organization, cell migration and leukocyte migration. These findings suggested that dysregulation of the ECM shaped the tumor microenvironment and modulated the OS hallmark. Genes assigned to the yellow module were positively associated with OS and could contribute to the development of OS. In conclusion, the present study has identified several key genes that are potentially druggable genes or therapeutics targets in OS. Functional annotations revealed that the dysregulation of the ECM may contribute to OS development and, therefore, provided new insights to improve our understanding of the mechanisms underlying OS."
Subramanian,"Reference genes are important to precisely quantify gene expression by real-time PCR. In order to identify stable and reliable expressed genes in mycoparasite Clonostachys rosea in different modes of nutrition, seven commonly used housekeeping genes, 18S rRNA, actin, β-tubulin, elongation factor 1, ubiquitin, ubiquitin-conjugating enzyme and glyceraldehyde-3-phosphate dehydrogenase, from the effective biocontrol isolate C. rosea 67-1 were tested for their expression under sclerotial induction and during vegetative growth on PDA medium. Analysis by three software programs showed that differences existed among the candidates. Elongation factor 1 was most stable; the M value in geNorm, SD value in Bestkeeper and stability value in Normfinder analysis were 0.405, 0.450 and 0.442, respectively, indicating that the gene elongation factor 1 could be used to normalize gene expression in C. rosea in both vegetative growth and parasitic process. By using elongation factor 1, the expression of a serine protease gene, sep, in different conditions was assessed, which was consistent with the transcriptomic data. This research provides an effective method to quantitate expression changes of target genes in C. rosea, and will assist in further investigation of parasitism-related genes of this fungus. "
Subramanian,"TIFY proteins are plant-specific proteins containing TIFY, JAZ, PPD and ZML subfamilies. A total of 50, 54 and 28 members of the TIFY gene family in three cultivated cotton species-Gossypium hirsutum, Gossypium barbadense and Gossypium arboretum-were identified, respectively. The results of phylogenetic analysis showed that these TIFY genes were divided into eight clusters. The different clusters of gene family members often have similar gene structures, including the number of exons. The results of quantitative reverse transcription polymerase chain reaction (qRT-PCR) showed that different JAZ genes displayed distinct expression patterns in the leaves of upland cotton under treatment with Gibberellin (GA), methyl jasmonate (MeJA), Jasmonic acid (JA) and abscisic acid (ABA). Different groups of JAZ genes exhibited different expression patterns in cotton leaves infected with Verticillium dahliae. The results of the comparative analysis of TIFY genes in the three cultivated species will be useful for understanding the involvement of these genes in development and stress resistance in cotton."
Subramanian,"Alzheimer's disease (AD) is the most common neurodegenerative condition that affects more than 15 million individuals globally. However, a predictive molecular biomarker to distinguish the different stages of AD patients is still lacking."
Subramanian,"Cholestatic liver disease (CLD) is a highly heterogeneous hepatobiliary disease with various causes. The purpose of this research was to explore the gene expression changes throughout the course of CLD revealing potential causative molecular mechanisms and therapeutic targets."
Subramanian,"Insects undergo metamorphosis, involving an abrupt change in body structure through cell growth and differentiation. Rice stem stripped borer (SSB), Chilo suppressalis, is one of the most destructive rice pests. However, little is known about the regulation mechanism of metamorphosis development in this notorious insect pest. Here, we studied the expression of 22,197 SSB genes at seven time points during pupa development with a customized microarray, identifying 622 differentially expressed genes (DEG) during pupa development. Gene ontology (GO) analysis of these DEGs indicated that the genes related to substance metabolism were highly expressed in the early pupa, which participate in the physiological processes of larval tissue disintegration at these stages. In comparison, highly expressed genes in the late pupal stages were mainly associated with substance biosynthesis, consistent with adult organ formation at these stages. There were 27 solute carrier (SLC) genes that were highly expressed during pupa development. We knocked down SLC22A3 at the prepupal stage, demonstrating that silencing SLC22A3 induced a deficiency in pupa stiffness and pigmentation. The RNAi-treated individuals had white and soft pupa, suggesting that this gene has an essential role in pupal development."
Subramanian,"To identify biologically relevant genes associated with the pathogenesis of colorectal cancer (CRC), genome wide expression profiles of 17 pairs of CRC tumor and adjacent tissues, previously published in a DNA microarray study, were analyzed. Cytoscape, String tools and DAVID tools were used to investigate the biological pathways encoded by the genes identified as being either upregulated or downregulated in CRC, to determine protein‑protein interactions and to identify potential hub genes associated with CRC. As a result, a total of 3,264 genes were identified as being differentially expressed in CRC and adjacent tissues, including 1,594 downregulated and 1,670 upregulated genes. Furthermore, 306 genes were revealed to be clustered in a complex interaction network, and the top 20 hub genes in this network were determined by application of the Matthews Correlation Coefficient algorithm. In addition, the patterns of the expression levels of the 20 hub genes were investigated using reverse transcription‑quantitative polymerase chain reaction. Gene Ontology analysis revealed that four of the 20 hub genes encoded small subunit processome components (UTP3 small subunit processome component; UTP14 small subunit processome component; UTP 18 small subunit processome component; and UTP20 small subunit processome component) and a further four encoded WD repeat domains (WD repeat‑containing protein 3, WD repeat domain 12, WD repeat‑containing protein 43 and WD repeat‑containing protein 75). In conclusion, the present DNA microarray study identified genes involved in the pathogenesis of CRC. Furthermore, it was revealed that hub genes identified from among the total identified upregulated and downregulated genes in CRC encoding subunit processome components and WD repeat domains may represent novel target molecules for future treatments of CRC."
"Strážnická","Wheat, a major worldwide staple food crop, is relatively sensitive to a changing environment, including high temperature. The comprehensive mechanism of heat stress response at the molecular level and exploitation of candidate tolerant genes are far from enough. Using transcriptome data, we analyzed the gene expression profiles of wheat under heat stress. A total of 1705 and 17 commonly differential expressed genes (DEGs) were identified in wheat grain and flag leaf, respectively, through transcriptome analysis. Gene Ontology (GO) and pathway enrichment were also applied to illustrate the functions and metabolic pathways of DEGs involved in thermotolerance of wheat grain and flag leaf. Furthermore, our data suggest that there may be a more complex molecular mechanism or tighter regulatory network in flag leaf than in grain under heat stress over time, as less commonly DEGs, more discrete expression profiles of genes (principle component analysis) and less similar pathway response were observed in flag leaf. In addition, we found that transcriptional regulation of zeatin, brassinosteroid and flavonoid biosynthesis pathways may play an important role in wheat's heat tolerance. The expression changes of some genes were validated using quantitative real-time polymerase chain reaction and three potential genes involved in the flavonoid biosynthesis process were identified."
"Strážnická","Pheochromocytoma/paraganglioma (PCPG) is a benign neuroendocrine neoplasm in most cases, but metastasis and other malignant behaviors can be observed in this tumor. The aim of this study was to identify genes associated with the metastasis of PCPG."
"Strážnická","Quantitative real-time reverse transcription polymerase chain reaction is widely used for gene expression analysis, and robust normalization against stably expressed endogenous reference genes (ERGs) is necessary to obtain accurate results. In this study, the stability of nine housekeeping genes of the sweetpotato whitefly, Bemisia tabaci (Hemiptera: Aleyrodidae) Mediterranean were evaluated in various conditions by quantitative real-time reverse transcription polymerase chain reaction using geNorm and Normfinder programs. Both programs suggested alpha-tubulin/ubiquitin and 18S small subunit ribosomal RNA the most stable genes for bacterium- and insecticide-treated whiteflies, respectively. For developmental stages, organs, and the samples including salivary glands and the whole body, transcription initiation factor TFIID subunit was calculated as the most stably expressed gene by both programs. In addition, we compared the RNA-seq data with the results of geNorm and Normfinder and found that the stable genes revealed by RNA-seq analysis were also the ERGs recommended by geNorm and Normfinder. Furthermore, the use of the most stable gene suggested by RNA-seq analysis as an ERG produced similar gene expression patterns compared with results generated from the normalization against the most stable gene selected by geNorm and Normfinder and multiple genes recommended by geNorm. It indicates that RNA-seq data are reliable and provide a great source for ERG candidate exploration. Our results benefit future research on gene expression profiles of whiteflies and possibly other organisms."
Sokolowski,"Cancer as a kind of genomic alteration disease each year deprives many people's life. The biggest challenge to overcome cancer is to identify driver genes that promote the cancer development from a huge amount of passenger mutations that have no effect on the selective growth advantage of cancer. In order to solve those problems, some researchers have started to focus on identification of driver genes by integrating networks with other biological information. However, more efforts should be needed to improve the prediction performance."
Sokolowski,"The pathogenic mechanisms of prostate cancer (PCa) remain to be defined. In this study, we utilized the Robust Rank Aggregation (RRA) method to integrate 10 eligible PCa microarray datasets from the GEO and identified a set of significant differentially expressed genes (DEGs) between tumor samples and normal, matched specimens. To explore potential associations between gene sets and PCa clinical features and to identify hub genes, we utilized WGCNA to construct gene co-expression networks incorporating the DEGs screened with the use of RRA. From the key module, we selected LMNB1, TK1, ZWINT, and RACGAP1 for validation. We found that these genes were up-regulated in PCa samples, and higher expression levels were associated with higher Gleason scores and tumor grades. Moreover, ROC and K-M plots indicated these genes had good diagnostic and prognostic value for PCa. On the other hand, methylation analyses suggested that the abnormal up-regulation of these four genes likely resulted from hypomethylation, while GSEA and GSVA for single hub gene revealed they all had a close association with proliferation of PCa cells. These findings provide new insight into PCa pathogenesis, and identify LMNB1, TK1, RACGAP1 and ZWINT as candidate biomarkers for diagnosis and prognosis of PCa."
Sokolowski,"Arachis species produce flowers aerially, and then grow into the ground, where they develop into fruits; a feature that is unique to Arachis species. We hypothesized that Arachis species evolved genes specifically involved in the control of aerial flowers and the formation of underground fruits. Arachis duranensis is more resistant to biotic and abiotic stressors. Here, we compared different legume species and identified Arachis duranensis-specific genes. We analyzed gene expression patterns, base substitution patterns and sequence features between genes that are conserved across legume plants and A. duranensis-specific genes. Furthermore, we tested the role of A. duranensis-specific genes during seed development, response to nematode Meloidogyne arenaria infection and drought stress. We found that A. duranensis-specific genes had characteristics of young genes. The gene expression level and breadth were lower in the A. duranensis-specific genes compared to conserved genes. The A. duranensis-specific genes had higher codon usage bias than conserved genes, and the polypeptide length and GC content at the three codon sites were lower compared to conserved genes. Of the A. duranensis-specific genes, single-copy and duplicated genes had different features. The RNA-seq result showed A. duranensis-specific genes were involved in seed development, as well as response to nematode infection and drought stress. In addition, we detected asymmetric functions in A. duranensis-specific duplicated genes in response to nematode infection and drought stress."
Sokolowski,"The cellulose synthase gene superfamily, which includes the cellulose synthase (CesA) and cellulose synthase-like (Csl) gene families, plays a vital role in the biosynthesis of cellulose and hemicellulose in plants. However, these genes have not been extensively studied in tomato (Solanum lycopersicum), a model for Solanaceae plants and for fleshy fruit development. Here, we identified and systematically analyzed 38 CesA/Csl family members that contained cellulose synthase domain regions, and categorized their encoded proteins into 6 subfamilies (CesA, CslA, CslB, CslD, CslE, and CslG) based on phylogenetic analysis. Most CesA/Csl genes from tomato are closely related to those from Arabidopsis, but the families have distinct features regarding gene structure, chromosome distribution and localization, phylogeny, and deduced protein sequence, indicating that they arose via different evolutionary process. Furthermore, expression analysis of CesA/Csl genes in different tissues at various developmental stages showed that most CesAs were constitutively expressed with differential expression levels in various organs; three CslD genes were expressed specifically in flowers, and four CesA and five Csl putative genes were preferentially expressed in fruits. Our results provide insight into the general characteristics of the CesA/Csl genes in tomato, and lay the foundation for further functional studies of CesA/Csl genes in tomato and other Solanaceae species."
Sokolowski,"Previous studies showed sex-specific DNA methylation and expression of candidate genes in bisexual flowers of andromonoecious poplar, but the regulatory relationship between methylation and microRNAs (miRNAs) remains unclear. To investigate whether the methylation of miRNA genes regulates gene expression in bisexual flower development, the methylome, microRNA, and transcriptome were examined in female and male flowers of andromonoecious poplar. 27 636 methylated coding genes and 113 methylated miRNA genes were identified. In the coding genes, 64.5% of the methylated reads mapped to the gene body region; by contrast, 60.7% of methylated reads in miRNA genes mainly mapped in the 5' and 3' flanking regions. CHH methylation showed the highest methylation levels and CHG showed the lowest methylation levels. Correlation analysis showed a significant, negative, strand-specific correlation of methylation and miRNA gene expression (r=0.79, P <0.05). The methylated miRNA genes included eight long miRNAs (lmiRNAs) of 24 nucleotides and 11 miRNAs related to flower development. miRNA172b might play an important role in the regulation of bisexual flower development-related gene expression in andromonoecious poplar, via modification of methylation. Gynomonoecious, female, and male poplars were used to validate the methylation patterns of the miRNA172b gene, implying that hyper-methylation in andromonoecious and gynomonoecious poplar might function as an important regulator in bisexual flower development. Our data provide a useful resource for the study of flower development in poplar and improve our understanding of the effect of epigenetic regulation on genes other than protein-coding genes. "
Sokolowski,"The molecular pathogenesis of osteonecrosis of the femoral head (ONFH) has been remained obscure so that its prevalence has been increasing in recent decades. Different transcription factors play critical roles in maintaining the balance between osteogenesis and adipogenesis. However, it has been unclear that the genes variants of the transcription factors exert the effects on the imbalance between steogenesis and adipogenesis during the development of ONFH. Here, we selected the 11SNPs from steogenesis, adipogenesis-specific transcription factors RUNX2, Osterix, and PPARγ genes, chondrogenesis or adipogenesis key factors COL2A1, IGFBP3 genes and analysed the genotypes, alleles, haplotypes and their association with the risk and clinical phenotypes of ONFH through Mass ARRAY® platformin in 200 ONFH patients and 177controls. The patients with ONFH (132 males, 68 females; age: 53.46±11.48yr) were consecutively enrolled at the Department of Orthopedics, the Second Clinical College of Jilin University, from March 2014 to June 2015 and were diagnosed and classified into 10 cases of stage II (5.6%), 54 cases of stage III (30.2%) and 115 cases (64.2%) of stage IV and alcohol-induced (71 cases (39.7%)), idiopathic (64 cases (34.0%)), and steroid-induced osteonecrosis (47 cases (26.3%)) subgroup, respectively. Our results showed that all models of logistical regression analysis, the co-dominants, dominants, and recessives of PPARγrs2920502, significantly associated with the increased risk of ONFH (p=0.004, p=0.013, p=0.016), respectively. Both the minor homozygous CC genotype and the allele C of rs2920502 were evidently correlated with the enhanced risk of ONFH (p=0.005, p=0.0005),respectively. The recessives models of IGFBP3rs2132572 (G/A) as well as RUNX2 rs3763190(G/A) were statistically associated with the higher ONFH risk, p=0.030, p=0.029, respectively; the minor homozygous(AA) of IGFBP3rs2132572 (G/A) was also related to the increased risk of bilateral hips lesions, p=0.039. Moreover, the ages on set of major homozygous(GG) and heterozygous(GT) of COL2A1rs2070739(G/A) were significantly younger than that of the minor homozygous(AA) of the SNP(p=0.008) while the A-T-G-A haplotype of COL2A1 gene revealed significant association with the decreased the risk of bilateral hip lesions, p=0.01, OR:0.258. More important, the serum HDL-c level and the ratio of LDL-c/HDL-c in the ONFH group were significantly decreased and increased compared with those of the control group (p=0.02, p=0.0001), respectively. Particularly, the CC genotype of PPARγ rs2920502 was statistically correlated with the enhanced serum TG level, p=0.011.These results suggest that the variants of PPARγ, RUNX2, COL2A1, and IGFBP3 genes closely associated with the development of ONFH."
Sokolowski,"Old and young duplicate genes have been reported in some organisms. However, little is known about the properties of old and young duplicate genes in Arachis. Here, we have identified old and young duplicate genes in Arachis duranensis, and analyzed the evolution, gene complexity, gene expression pattern, and functional divergence between old and young duplicate genes. Our results showed different evolutionary, gene complexity and gene expression patterns, as well as differing correlations between old and young duplicate genes. Gene ontology results showed that old duplicate genes play a crucial role in lipid and amino acid biosynthesis and the oxidation-reduction process and that young duplicate genes are preferentially involved in photosynthesis and response to biotic stimulus. Transcriptome data sets revealed that most old and young duplicate genes had asymmetric function, and only a few duplicate genes exhibited symmetric function under drought and nematode stress. We found that old duplicate genes are preferentially involved in lipid and amino acid metabolism and response to abiotic stress, while young duplicate genes are likely to participate in photosynthesis and response to biotic stress. This work provides a better understanding of the evolution and functional divergence of old and young duplicate genes in A. duranensis."
Singh,"Gene expression analysis using quantitative real-time PCR (qRT-PCR) is a very sensitive technique and its sensitivity depends on the stable performance of reference gene(s) used in the study. A number of housekeeping genes have been used in various expression studies in many crops however, their expression were found to be inconsistent under different stress conditions. As a result, species specific housekeeping genes have been recommended for different expression studies in several crop species. However, such specific housekeeping genes have not been reported in the case of pigeonpea (Cajanus cajan) despite the fact that genome sequence has become available for the crop. To identify the stable housekeeping genes in pigeonpea for expression analysis under drought stress conditions, the relative expression variations of 10 commonly used housekeeping genes (EF1α, UBQ10, GAPDH, 18SrRNA, 25SrRNA, TUB6, ACT1, IF4α, UBC and HSP90) were studied on root, stem and leaves tissues of Asha (ICPL 87119). Three statistical algorithms geNorm, NormFinder and BestKeeper were used to define the stability of candidate genes. geNorm analysis identified IF4α and TUB6 as the most stable housekeeping genes however, NormFinder analysis determined IF4α and HSP90 as the most stable housekeeping genes under drought stress conditions. Subsequently validation of the identified candidate genes was undertaken in qRT-PCR based gene expression analysis of uspA gene which plays an important role for drought stress conditions in pigeonpea. The relative quantification of the uspA gene varied according to the internal controls (stable and least stable genes), thus highlighting the importance of the choice of as well as validation of internal controls in such experiments. The identified stable and validated housekeeping genes will facilitate gene expression studies in pigeonpea especially under drought stress conditions. "
Singh,"Gene-editing techniques such as RNA-guided endonuclease systems are becoming increasingly popular for phenotypic screening. Such screens are normally conducted in arrayed or pooled formats. There has been considerable interest in recent years to find new technological methods for conducting these gene-editing assays. We report here the first digital microfluidic method that can automate arrayed gene-editing in mammalian cells. Specifically, this method was useful in culturing lung cancer cells for up to six days, as well as implementing automated gene transfection and knockout procedures. In addition, a standardized imaging pipeline to analyse fluorescently labelled cells was also designed and implemented during these procedures. A gene editing assay for interrogating the MAPK/ERK pathway was performed to show the utility of our platform and to determine the effects of knocking out the RAF1 gene in lung cancer cells. In addition to gene knockout, we also treated the cells with an inhibitor, Sorafenib Tosylate, to determine the effects of enzymatic inhibition. The combination of enzymatic inhibition and guide targeting on device resulted in lower drug concentrations for achieving half-inhibitory effects (IC50) compared to cells treated only with the inhibitor, confirming that lung cancer cells are being successfully edited on the device. We propose that this system will be useful for other types of gene-editing assays and applications related to personalized medicine."
Shen,"Asthma is a chronic inflammatory disorder of airways that involves in many cells and factors. This study aimed to screen critical genes and miRNAs involved in childhood atopic asthma. DNA methylation and gene expression data (access numbers GSE65163 and GSE65204) were downloaded from Gene Expression Omnibus (GEO) database, which included 72 atopic asthmatic subject samples and 69 healthy samples. The differentially expressed genes (DEGs) with DNA methylation changes were identified, followed by Gene Ontology (GO) function and Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway analysis. Gene coexpression network and miRNA-target gene regulatory networks were then constructed. Besides, we screened critical drug molecules that have high correlation with atopic asthma in children. A total of 146 critical DEGs with DNA methylation changes were screened from atopic asthmatic samples compared with healthy control samples. GO and KEGG pathway enrichment analysis showed that the critical genes were mainly related to 20 GO terms and 13 KEGG pathways. In the coexpression network, tumor necrosis factor ("
Shen,"Enchondromas are the most common primary benign osseous neoplasms that occur in the medullary bone; they can undergo malignant transformation into chondrosarcoma. However, enchondromas are always undetected in patients, and the molecular mechanism is unclear. To identify key genes and pathways associated with the occurrence and development of enchondromas, we downloaded the gene expression dataset GSE22855 and obtained the differentially expressed genes (DEGs) by analyzing high-throughput gene expression in enchondromas. In total, 635 genes were identified as DEGs. Of these, 225 genes (35.43%) were up-regulated, and the remaining 410 genes (64.57%) were down-regulated. We identified the predominant gene ontology (GO) categories and Kyoto Encyclopedia of Genes and Genomes (KEGG) pathways that were significantly over-represented in the enchondromas samples compared with the control samples. Subsequently the top 10 core genes were identified from the protein-protein interaction (PPI) network. The enrichment analyses of the genes mainly involved in two significant modules showed that the DEGs were principally related to ribosomes, protein digestion and absorption, ECM-receptor interaction, focal adhesion, amoebiasis and the PI3K-Akt signaling pathway.Together, these data elucidate the molecular mechanisms underlying the occurrence and development of enchondromas and provide promising candidates for therapeutic intervention and prognostic evaluation. However, further experimental studies are needed to confirm these results."
